清单,名称,UI命中面数,GP命中面数,UI命中面,GP命中面
CodeBuddyFuncs,RegisterScrollCallback,0,0,,
CodeBuddyFuncs,RegisterSelectionCallback,0,0,,
CodeBuddyFuncs,RegisterSizeChanged,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,RegisterSliderCallback,0,0,,
CodeBuddyFuncs,RegisterStartCallback,0,0,,
CodeBuddyFuncs,RegisterStringChangedCallback,0,0,,
CodeBuddyFuncs,RegisterTextureChanged,0,0,,
CodeBuddyFuncs,RegisterUpEndCallback,0,0,,
CodeBuddyFuncs,RegisterWhenHidden,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,RegisterWhenShown,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,ReleaseAndUnloadTextureByName,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,ReleaseChild,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,ReleaseGameCoreEvent,0,0,,
CodeBuddyFuncs,ReleaseTextureByName,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,Reload,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,RemoveControlToAlwaysReceiveInput,1,0,UITutorialManager,
CodeBuddyFuncs,RemoveToolTipDisplayCallback,1,0,TTManager,
CodeBuddyFuncs,Reparent,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,ReprocessAnchoring,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,RequestRefresh,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,RequestReloadUI,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,RequestReprocessAnchoring,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,ResetAllWaves,0,0,,
CodeBuddyFuncs,ResetSelection,0,0,,
CodeBuddyFuncs,Resize,0,0,,
CodeBuddyFuncs,ResumeAllEffects,1,0,EffectsManager,
CodeBuddyFuncs,Reverse,0,0,,
CodeBuddyFuncs,Rotate,0,0,,
CodeBuddyFuncs,Scale,0,0,,
CodeBuddyFuncs,SelectTab,0,0,,
CodeBuddyFuncs,SelectTabByID,0,0,,
CodeBuddyFuncs,SendOpenState,0,0,,
CodeBuddyFuncs,SendTooltipRefreshMessage,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,SetAbsoluteScrollValue,0,0,,
CodeBuddyFuncs,SetActiveAlways,1,0,UITutorialManager,
CodeBuddyFuncs,SetAllChildrenVisible,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,SetAlpha,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,SetAnchor,2,0,"__SC.C_ContextPtr, __SC.C_Control",
