库表,GP,UI
RandomEvent_DamagedUnits,userdata,userdata
RandomEvent_Damages,userdata,userdata
RandomEvent_Features,userdata,userdata
RandomEvent_Frequencies,userdata,userdata
RandomEvent_Improvement_Placements,userdata,userdata
RandomEvent_Notifications,userdata,userdata
RandomEvent_PillagedBuildings,userdata,userdata
RandomEvent_PillagedDistricts,userdata,userdata
RandomEvent_PillagedImprovements,userdata,userdata
RandomEvent_Presentation,userdata,userdata
RandomEvent_Terrains,userdata,userdata
RandomEvent_Yields,userdata,userdata
RandomEvents,userdata,userdata
RealismSettings,userdata,userdata
Religions,userdata,userdata
RequirementArguments,userdata,userdata
RequirementSetRequirements,userdata,userdata
RequirementSets,userdata,userdata
RequirementStrings,userdata,userdata
Requirements,userdata,userdata
ResolutionEffects,userdata,userdata
Resolutions,userdata,userdata
ResourceCorporations,userdata,userdata
ResourceIndustries,userdata,userdata
Resource_Conditions,userdata,userdata
Resource_Consumption,userdata,userdata
Resource_Distribution,userdata,userdata
Resource_Harvests,userdata,userdata
Resource_SeaLuxuries,userdata,userdata
Resource_SeaStrategics,userdata,userdata
Resource_TradeRouteYields,userdata,userdata
Resource_ValidFeatures,userdata,userdata
Resource_ValidTerrains,userdata,userdata
Resource_YieldChanges,userdata,userdata
Resources,userdata,userdata
Route_ResourceCosts,userdata,userdata
Route_ValidBuildUnits,userdata,userdata
Routes,userdata,userdata
Routes_XP2,userdata,userdata
SavingTypes,userdata,userdata
ScenarioSpecificCommand,userdata,userdata
ScoringCategories,userdata,userdata
ScoringLineItems,userdata,userdata
Seasons,userdata,userdata
SecretSocieties,userdata,userdata
SettlementPreferences,userdata,userdata
ShapeDefinitions,userdata,userdata
StartBiasFeatures,userdata,userdata
StartBiasResources,userdata,userdata
StartBiasRivers,userdata,userdata
StartBiasTerrains,userdata,userdata
StartEras,userdata,userdata
StartEras_XP2,userdata,userdata
StartingBoostedCivics,userdata,userdata
StartingBoostedTechnologies,userdata,userdata
StartingBuildings,userdata,userdata
StartingCivics,userdata,userdata
StartingGovernments,userdata,userdata
Strategies,userdata,userdata
StrategyConditions,userdata,userdata
Strategy_Priorities,userdata,userdata
Strategy_YieldPriorities,userdata,userdata
Tags,userdata,userdata
TargetTypes,userdata,userdata
Technologies,userdata,userdata
Technologies_XP2,userdata,userdata
TechnologyModifiers,userdata,userdata
TechnologyPrereqs,userdata,userdata
TechnologyQuotes,userdata,userdata
TechnologyRandomCosts,userdata,userdata
TerrainClass_Terrains,userdata,userdata
TerrainClasses,userdata,userdata
Terrain_YieldChanges,userdata,userdata
Terrains,userdata,userdata
TraitModifiers,userdata,userdata
Traits,userdata,userdata
TreeData,userdata,userdata
TriggeredBehaviorTrees,userdata,userdata
TurnPhases,userdata,userdata
TurnSegments,userdata,userdata
TurnTimers,userdata,userdata
TypeProperties,userdata,userdata
TypeTags,userdata,userdata
Types,userdata,userdata
UnitAbilities,userdata,userdata
UnitAbilityModifiers,userdata,userdata
UnitAiInfos,userdata,userdata
UnitAiTypes,userdata,userdata
UnitCaptures,userdata,userdata
UnitCommands,userdata,userdata
UnitFormationClasses,userdata,userdata
UnitNames,userdata,userdata
UnitOperations,userdata,userdata
UnitOperations_XP2,userdata,userdata
UnitPromotionClasses,userdata,userdata
UnitPromotionModifiers,userdata,userdata
UnitPromotionPrereqs,userdata,userdata
UnitPromotions,userdata,userdata
UnitReplaces,userdata,userdata
UnitRetreats_XP1,userdata,userdata
UnitUpgrades,userdata,userdata
Unit_BuildingPrereqs,userdata,userdata
Unit_RebellionTags,userdata,userdata
Unit_RockbandResults_XP2,userdata,userdata
Units,userdata,userdata
Units_MODE,userdata,userdata
Units_Presentation,userdata,userdata
Units_XP2,userdata,userdata
Victories,userdata,userdata
Visibilities,userdata,userdata
Visibilities_XP2,userdata,userdata
Vocabularies,userdata,userdata
VotingBlockers,userdata,userdata
WMDs,userdata,userdata
Wars,userdata,userdata
Yields,userdata,userdata
