id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
A-TerrainBuilderSetResourceType,ACTION,TerrainBuilder,SetResourceType,,Dot (Global),GamePlay,objects,dot,TerrainBuilder.SetResourceType,,nil,否,,,命名空间存在但无此成员,ERR,否,,,命名空间 TerrainBuilder 在该上下文不存在,,双端未见,文档存疑：GP 未见,"Plot:::object, resourceIndex:::number, resourceAmount:::number",
Q-TerrainBuilderCanHaveResource,QUERY,TerrainBuilder,CanHaveResource,,Dot (Global),GamePlay,objects,dot,TerrainBuilder.CanHaveResource,,nil,否,,,命名空间存在但无此成员,ERR,否,,,命名空间 TerrainBuilder 在该上下文不存在,,双端未见,文档存疑：GP 未见,"Plot:::object, resourceIndex:::number",[True/False]:::boolean
Q-UnitGetLifespan,QUERY,Unit,GetLifespan,,Colon (Instance),Both,objects,colon,__SC.C_Unit.GetLifespan,,nil,否,,,经 instance:player-units 检查：无此方法,nil,否,,,经 instance:player-units 检查：无此方法,,双端未见,文档偏宽：双端均未见,,amount:::number
A-UnitSetRenown,ACTION,Unit,SetRenown,,Colon (Instance),Both,objects,colon,__SC.C_Unit.SetRenown,,nil,否,,,经 instance:player-units 检查：无此方法,nil,否,,,经 instance:player-units 检查：无此方法,,双端未见,文档偏宽：双端均未见,,
Q-UnitGetRenown,QUERY,Unit,GetRenown,,Colon (Instance),Both,objects,colon,__SC.C_Unit.GetRenown,,nil,否,,,经 instance:player-units 检查：无此方法,nil,否,,,经 instance:player-units 检查：无此方法,,双端未见,文档偏宽：双端均未见,,
A-UnitSetLifespan,ACTION,Unit,SetLifespan,,Colon (Instance),Both,objects,colon,__SC.C_Unit.SetLifespan,,nil,否,,,经 instance:player-units 检查：无此方法,nil,否,,,经 instance:player-units 检查：无此方法,,双端未见,文档偏宽：双端均未见,amount:::number,
Q-MapRoutesGetIndexedPortalGetEntrancePlotIndex,QUERY,MapRoutes,GetIndexedPortal,GetEntrancePlotIndex,Dot (Global),Both,objects,dot,MapRoutes.GetIndexedPortal.GetEntrancePlotIndex,__SC.C_MapRoutes_P_GetIndexedPortal.GetEntrancePlotIndex,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,plotID:::number
Q-MapRoutesGetIndexedPortalGetExitCount,QUERY,MapRoutes,GetIndexedPortal,GetExitCount,Dot (Global),Both,objects,dot,MapRoutes.GetIndexedPortal.GetExitCount,__SC.C_MapRoutes_P_GetIndexedPortal.GetExitCount,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,amount:::number
Q-MapRoutesGetIndexedPortalGetExitPlotIndex,QUERY,MapRoutes,GetIndexedPortal,GetExitPlotIndex,Dot (Global),Both,objects,dot,MapRoutes.GetIndexedPortal.GetExitPlotIndex,__SC.C_MapRoutes_P_GetIndexedPortal.GetExitPlotIndex,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,plotID:::number
Q-MapRoutesGetIndexedPortalHasEntranceAt,QUERY,MapRoutes,GetIndexedPortal,HasEntranceAt,Dot (Global),Both,objects,dot,MapRoutes.GetIndexedPortal.HasEntranceAt,__SC.C_MapRoutes_P_GetIndexedPortal.HasEntranceAt,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,[True/False]:::boolean
Q-MapRoutesGetIndexedPortalHasExitAt,QUERY,MapRoutes,GetIndexedPortal,HasExitAt,Dot (Global),Both,objects,dot,MapRoutes.GetIndexedPortal.HasExitAt,__SC.C_MapRoutes_P_GetIndexedPortal.HasExitAt,ERR,否,,,命名空间存在但无此成员,ERR,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,[True/False]:::boolean
C-RouteBuilder,CONTEXT,RouteBuilder,,,Dot (Global),Both,objects,namespace,RouteBuilder,,table,是,,,命名空间存在,nil,否,,,命名空间在该上下文不存在,,仅GP,文档偏宽：UI 未见,,
A-RouteBuilderSetRouteType,ACTION,RouteBuilder,SetRouteType,,Dot (Global),Both,objects,dot,RouteBuilder.SetRouteType,,function,是,,,,ERR,否,,,命名空间 RouteBuilder 在该上下文不存在,,仅GP,文档偏宽：UI 未见,"Plot:::object, RouteTypes routeType::(enum)",
A-RouteBuilderCanHaveRoute,ACTION,RouteBuilder,CanHaveRoute,,Dot (Global),Both,objects,dot,RouteBuilder.CanHaveRoute,,function,是,,,,ERR,否,,,命名空间 RouteBuilder 在该上下文不存在,,仅GP,文档偏宽：UI 未见,,
A-RouteBuilderSetRoutePillaged,ACTION,RouteBuilder,SetRoutePillaged,,Dot (Global),Both,objects,dot,RouteBuilder.SetRoutePillaged,,function,是,,,,ERR,否,,,命名空间 RouteBuilder 在该上下文不存在,,仅GP,文档偏宽：UI 未见,"Plot:::object, isPillaged:::boolean",
A-ModdingActivateAllowedDLC,ACTION,Modding,ActivateAllowedDLC,,Dot (Global),Both,objects,dot,Modding.ActivateAllowedDLC,,ERR,否,,,命名空间 Modding 在该上下文不存在,nil,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,
A-ModdingActivateDLC,ACTION,Modding,ActivateDLC,,Dot (Global),Both,objects,dot,Modding.ActivateDLC,,ERR,否,,,命名空间 Modding 在该上下文不存在,nil,否,,,命名空间存在但无此成员,,双端未见,文档偏宽：双端均未见,,
C-Achievements,CONTEXT,Achievements,,,Dot (Global),UI,objects,namespace,Achievements,,table,是,,,命名空间存在,table,是,,,命名空间存在,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsGetAchievementDisplayName,QUERY,Achievements,GetAchievementDisplayName,,Dot (Global),UI,objects,dot,Achievements.GetAchievementDisplayName,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsGetAchievementHash,QUERY,Achievements,GetAchievementHash,,Dot (Global),UI,objects,dot,Achievements.GetAchievementHash,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsGetAchievementData,QUERY,Achievements,GetAchievementData,,Dot (Global),UI,objects,dot,Achievements.GetAchievementData,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
A-AchievementsDeleteAchievementData,ACTION,Achievements,DeleteAchievementData,,Dot (Global),UI,objects,dot,Achievements.DeleteAchievementData,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsGetAchievementDescription,QUERY,Achievements,GetAchievementDescription,,Dot (Global),UI,objects,dot,Achievements.GetAchievementDescription,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsGetStat,QUERY,Achievements,GetStat,,Dot (Global),UI,objects,dot,Achievements.GetStat,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsGetAchievementName,QUERY,Achievements,GetAchievementName,,Dot (Global),UI,objects,dot,Achievements.GetAchievementName,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,
Q-AchievementsIsAchievementUnlocked,QUERY,Achievements,IsAchievementUnlocked,,Dot (Global),UI,objects,dot,Achievements.IsAchievementUnlocked,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,[True/False]:::boolean
Q-UIGetGameParametersGetGetValueAt,QUERY,UI,GetGameParameters,GetGetValueAt,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetGetValueAt,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get GetValue,文档名拼接：去前缀候选 GetValueAt 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
Q-UIGetGameParametersGetGetCount,QUERY,UI,GetGameParameters,GetGetCount,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetGetCount,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get,文档名拼接：去前缀候选 GetCount 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
A-UIGetGameParametersGetRemoveAt,ACTION,UI,GetGameParameters,GetRemoveAt,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetRemoveAt,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get Remove,文档名拼接：去前缀候选 RemoveAt 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
A-UIGetGameParametersGetAppendValue,ACTION,UI,GetGameParameters,GetAppendValue,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetAppendValue,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get,文档名拼接：去前缀候选 AppendValue 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
Q-UIGetGameParametersGetGetKeyAt,QUERY,UI,GetGameParameters,GetGetKeyAt,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetGetKeyAt,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get,文档名拼接：去前缀候选 GetKeyAt 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
A-UIGetGameParametersGetSetValueAt,ACTION,UI,GetGameParameters,GetSetValueAt,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetSetValueAt,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get SetValue,文档名拼接：去前缀候选 SetValueAt 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
Q-UIGetGameParametersGetGetAt,QUERY,UI,GetGameParameters,GetGetAt,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetGetAt,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get,文档名拼接：去前缀候选 GetAt 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
Q-UIGetGameParametersGetGetValueIndex,QUERY,UI,GetGameParameters,GetGetValueIndex,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetGetValueIndex,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get GetValue,文档名拼接：去前缀候选 GetValueIndex 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
Q-UIGetGameParametersGetContainsValue,QUERY,UI,GetGameParameters,GetContainsValue,Colon (Instance),UI,objects,colon-sub,__SC.C_UI_P_GetGameParameters.GetContainsValue,,ERR,不可判,,,类 UI 在该上下文无实例通道（none）,nil,否,,Get,文档名拼接：去前缀候选 ContainsValue 亦不存在（该对象运行时仅 5 法：Add/Get/GetValue/Remove/SetValue）,,双端未见,文档存疑：UI 未见,,
